cohort,bdchm_label,phv,pht,var_desc,var_units,bdchm_entity,bdchm_varname,bdchm_unit,associatedvisit,participantidphv,source_unit,target_unit,conversion_rule,has_pht,has_onto,unit_match,unit_convert,unit_expr,row_good
"cardia","fev1 - forced expiratory volume in 1 sec","phv00114699","pht001627","exhal. time of max fev1 trial","","MeasurementObservation","fev1","L","CARDIA YEAR 2","phv00114613","","","",1,1,,0,0,0
"cardia","fev1 - forced expiratory volume in 1 sec","phv00118912","pht001781","forced expiratory vol/1 second, trial #7","","MeasurementObservation","fev1","L","CARDIA YEAR 10","phv00118837","","","",1,1,,0,0,0
"cardia","fev1 - forced expiratory volume in 1 sec","phv00118971","pht001782","maximum fev1 (8 trials)","","MeasurementObservation","fev1","L","CARDIA YEAR 10","phv00118962","","","",1,1,,0,0,0
"cardia","fev1 - forced expiratory volume in 1 sec","phv00114652","pht001627","forced expiratory vol/1 second, trial #4","","MeasurementObservation","fev1","L","CARDIA YEAR 2","phv00114613","","","",1,1,,0,0,0
"cardia","fev1 - forced expiratory volume in 1 sec","phv00118900","pht001781","forced expiratory vol/1 second, trial #6","","MeasurementObservation","fev1","L","CARDIA YEAR 10","phv00118837","","","",1,1,,0,0,0
"cardia","fev1 - forced expiratory volume in 1 sec","phv00118946","pht001781","exhal. time of max fev1 trial (5 trials)","","MeasurementObservation","fev1","L","CARDIA YEAR 10","phv00118837","","","",1,1,,0,0,0
"cardia","fev1 - forced expiratory volume in 1 sec","phv00115633","pht001667","forced expiratory vol/1 second, trial #2","","MeasurementObservation","fev1","L","CARDIA YEAR 5","phv00115618","","","",1,1,,0,0,0
"cardia","fev1 - forced expiratory volume in 1 sec","phv00115657","pht001667","forced expiratory vol/1 second, trial #4","","MeasurementObservation","fev1","L","CARDIA YEAR 5","phv00115618","","","",1,1,,0,0,0
"cardia","fev1 - forced expiratory volume in 1 sec","phv00115645","pht001667","forced expiratory vol/1 second, trial #3","","MeasurementObservation","fev1","L","CARDIA YEAR 5","phv00115618","","","",1,1,,0,0,0
"cardia","fev1 - forced expiratory volume in 1 sec","phv00118924","pht001781","forced expiratory vol/1 second, trial #8","","MeasurementObservation","fev1","L","CARDIA YEAR 10","phv00118837","","","",1,1,,0,0,0
"cardia","fev1 - forced expiratory volume in 1 sec","phv00118864","pht001781","forced expiratory vol/1 second, trial #3","","MeasurementObservation","fev1","L","CARDIA YEAR 10","phv00118837","","","",1,1,,0,0,0
"cardia","fev1 - forced expiratory volume in 1 sec","phv00115669","pht001667","forced expiratory vol/1 second, trial #5","","MeasurementObservation","fev1","L","CARDIA YEAR 5","phv00115618","","","",1,1,,0,0,0
